feature,psi,ks_statistic,ks_pvalue,status,reference_mean,current_mean,reference_std,current_std
V1,0.8245340298060938,0.2657824543299191,0.0,refit,7.873970615634125e-11,0.17415753481236917,0.9999999994692064,1.0292234505895606
V2,0.014363525330423265,0.03645153180254612,7.625637304132416e-53,stable,6.678315254462897e-11,0.041242585431968806,1.0000000002324556,0.9804957211647797
V3,0.5743146803727688,0.34760888409567403,0.0,refit,-1.5425107075271233e-11,-0.617895023311216,1.0000000001640632,0.9383300670405882
V4,0.11357955378581473,0.13410376659875867,0.0,warning,-5.217337313004174e-11,-0.15689067241557014,0.9999999999760703,1.0055256602338307
V5,0.12201526157272025,0.15797758152192687,0.0,warning,6.532686712782108e-12,0.23135877331051266,1.0000000003554699,1.0060404157208296
V6,0.048452602325835925,0.09730433930259447,0.0,stable,-7.003145266090159e-12,-0.11632725118626508,0.9999999998956957,1.033840374168766
V7,0.05443039954320429,0.08971135625561694,2.280963e-318,stable,-6.488174444110617e-11,0.10911371622693672,1.000000000113245,1.0399216744035256
V8,0.031755060797356856,0.07272520606089511,3.0519929632910885e-209,stable,-3.186782203980278e-11,-0.01811971895348814,0.9999999998758952,0.9476317923516879
V9,0.0491279060466933,0.050459936859959253,6.756904638223779e-101,stable,-3.0684535293687644e-11,-0.008632527313132578,1.0000000000939118,0.8862278665118055
V10,0.024869669315893347,0.03624117928389703,3.0594039082720453e-52,stable,3.7828792882063194e-11,0.0061117966346784305,1.0000000009363246,0.9830017417270721
V11,0.26852365144828744,0.14350795655064885,0.0,refit,-6.273998419117775e-11,-0.37005076161222517,0.9999999998321633,0.8761376470338434
V12,0.15160416412658528,0.08854642451913126,3.7650370757294e-310,warning,-7.547238510717006e-11,0.21449599573135736,0.9999999998641168,0.6667265130657329
V13,0.03013651329183469,0.04372743345676078,7.252134956563057e-76,stable,1.395804700319386e-11,-0.08146448454971211,0.9999999999393464,0.8711215062593494
V14,0.06140931822239007,0.08609914833760574,3.069475347767088e-293,stable,-6.022902871556135e-11,-0.1731354891338119,1.0000000005272787,0.9540110685011542
V15,0.16701267313778995,0.16657954865738078,0.0,warning,-1.1026060954017368e-10,-0.26418877410266695,1.0000000000010465,0.8631411419969862
V16,0.008783870960906727,0.027823492104911085,5.784039072419115e-31,stable,-1.4379936664180429e-10,0.030503642778035238,1.0000000000228135,0.9488595362288725
V17,0.03213099939961886,0.07559950891721223,4.283242802950325e-226,stable,-2.944609104771678e-11,-0.08863277710382676,0.9999999999303291,0.8513999072681967
V18,0.021485548420244686,0.05920298852834904,9.335082451835937e-139,stable,5.6324067654618505e-11,0.13514869558254805,1.0000000000740323,0.9656418571367926
V19,0.02590095577970346,0.05190366923821227,9.889443627417742e-107,stable,1.3310101147854653e-11,0.0440869800389951,0.9999999999477904,0.9626242167582918
V20,0.042314064597139135,0.09606552086583381,0.0,stable,1.4964782067212913e-11,-0.06377546116640373,0.9999999999971724,0.9444979822331937
V21,0.07735790453007581,0.0914419821579453,0.0,stable,3.880859331137735e-11,0.0456079278823903,0.9999999997929563,0.9460702127263904
V22,0.11861558882855364,0.12207488949781697,0.0,warning,4.9485759788482243e-11,0.1618196685822323,0.9999999999665811,1.107198179432436
V23,0.10535530009314856,0.13825940817094373,0.0,warning,-5.51998812349806e-11,0.07974435091696906,1.0000000020844158,0.9495489268867083
V24,0.10560745728819697,0.05926966012723456,4.5515000320080226e-139,warning,8.598803994254854e-11,-0.008770971177780645,0.9999999999001032,0.9968680571949478
V25,0.21848250806501165,0.2185635866345093,0.0,warning,-4.6678611483739694e-11,-0.3753603712180265,0.9999999999080426,1.073911770645633
V26,0.1067130445725715,0.06340734282666516,4.05654024185864e-159,warning,-2.059958417998607e-11,-0.02851448236370546,1.0000000001718654,0.9515480252126994
V27,0.03398257503111844,0.05040719003719618,1.0959506187726161e-100,stable,4.5706345098892046e-11,-0.0025226739407700335,0.9999999999651158,1.0357347242964206
V28,0.40208605777063416,0.2232383656676427,0.0,refit,7.418998751023946e-11,-0.029379848066424998,1.0000000001568459,0.93865813096067
Amount_log1p,0.013378938370071957,0.05308982128569939,1.1970539182997814e-111,stable,1.328978757687876e-10,-0.10590895314527694,0.9999999989226259,0.9858212566075283
Time_sin,6.940097828069942,0.4269117595584496,0.0,refit,5.183310398705752e-12,-0.9669588662215088,0.9999999998409234,0.43521363140116476
Time_cos,8.611627938723117,0.5780817702505449,0.0,refit,4.250193998255003e-11,0.9454200201923442,1.0000000002063996,0.6245832333000799
