algorithm,pair_id,pairwise_ari
KMeans,0,0.00896380549524421
KMeans,1,-0.0032131919117240155
KMeans,2,-0.013253427719352761
KMeans,3,0.014365605820176213
KMeans,4,9.680769820684204e-05
KMeans,5,0.9011413419226466
KMeans,6,0.8170552697227966
KMeans,7,0.055702940961418236
KMeans,8,0.06979243789614213
KMeans,9,0.004729603216378485
KMeans,10,-0.01563371235135935
KMeans,11,0.6897911520262481
KMeans,12,0.0009298978893544173
KMeans,13,0.009022572184592155
KMeans,14,0.013815397375303587
KMeans,15,0.5875055710678456
KMeans,16,0.5977818607472415
KMeans,17,-0.039701077609592364
KMeans,18,0.0036586616548186183
KMeans,19,-0.0024410189202726746
KMeans,20,-0.0010545038319539808
KMeans,21,-0.0012721305032568934
KMeans,22,8.98104419352512e-05
KMeans,23,0.0008536465761782195
KMeans,24,0.008918275536567788
KMeans,25,0.02685859891504563
KMeans,26,-0.010653573124101614
KMeans,27,-0.007092891537107559
KMeans,28,0.02734560179949147
KMeans,29,0.021303579479232428
KMeans,30,7.415281405762817e-06
KMeans,31,0.012469452735244049
KMeans,32,0.01640181429819756
KMeans,33,0.6920188153775506
KMeans,34,0.6461804401524015
KMeans,35,8.144209675657707e-05
KMeans,36,-0.0005335781298225927
KMeans,37,-9.41734713641388e-05
KMeans,38,-1.7690473816115607e-05
KMeans,39,0.8860120742578205
KMeans,40,0.05074949084518728
KMeans,41,0.06424043596193767
KMeans,42,0.05956504467630157
KMeans,43,0.07410100540686243
KMeans,44,0.8340671214783466
GMM,0,0.3189168775030943
GMM,1,0.2519179075438368
GMM,2,0.33553201592132814
GMM,3,0.43572665389963283
GMM,4,0.3579325647325145
GMM,5,0.36603656888312713
GMM,6,0.35318502171662614
GMM,7,0.32294650110948264
GMM,8,0.3703030806798547
GMM,9,0.3667857560107726
GMM,10,0.870780097210919
GMM,11,0.7121217534879889
GMM,12,0.5588580174112477
GMM,13,0.7651957414033528
GMM,14,0.6634426618302232
GMM,15,0.5608874536168852
GMM,16,0.6281178060250133
GMM,17,0.4013730077920108
GMM,18,0.33160866051403376
GMM,19,0.22457620927629982
GMM,20,0.3452799950653637
GMM,21,0.2838236544169549
GMM,22,0.516958002355417
GMM,23,0.2751483572071826
GMM,24,0.710959502542872
GMM,25,0.5556660743556334
GMM,26,0.7583095919147211
GMM,27,0.6300948217335298
GMM,28,0.607644440666736
GMM,29,0.6299070245164866
GMM,30,0.641702449034496
GMM,31,0.8085978455099091
GMM,32,0.7406376989165019
GMM,33,0.5366370730474003
GMM,34,0.7650391537804757
GMM,35,0.6263878838749999
GMM,36,0.6632573607312964
GMM,37,0.3927076039863206
GMM,38,0.6395174700094892
GMM,39,0.7276528668363981
GMM,40,0.5458807298639353
GMM,41,0.7453327356880646
GMM,42,0.43527022265754867
GMM,43,0.7554781332775778
GMM,44,0.44770124068643147
