algorithm,parameters,n_records,n_clusters,noise_fraction,runtime_seconds,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,ami,fowlkes_mallows,homogeneity,completeness,v_measure,purity,eps,min_samples
DBSCAN,"eps=4.288817,min_samples=10",6000,1,0.08266666666666667,0.1196500829999998,,,,0.032439881721462796,0.02200822869943708,0.021373753494341403,0.9219221353200747,0.2285618865697879,0.011560704589570753,0.02200822869943708,0.998,4.288817013158773,10
DBSCAN,"eps=4.747305,min_samples=10",6000,1,0.0565,0.18247608300000095,,,,0.05019791007431581,0.03393288764385212,0.03316222868073258,0.9462128682266905,0.2724254121722617,0.01809327925002425,0.03393288764385212,0.998,4.7473049382996235,10
DBSCAN,"eps=5.707336,min_samples=10",6000,1,0.0305,0.294197917,,,,0.08617644470041677,0.05515448286885053,0.05418470783123504,0.9708257170089827,0.28844741763952886,0.030492500879547316,0.05515448286885053,0.998,5.707336086524138,10
DBSCAN,"eps=6.699747,min_samples=10",6000,1,0.018166666666666668,0.6513631249999996,,,,0.14312877169398458,0.09423112376962503,0.09316480539495693,0.9829121260367708,0.3436961307429487,0.054600462801512276,0.09423112376962504,0.998,6.69974731489469,10
DBSCAN,"eps=9.808864,min_samples=10",6000,1,0.005333333333333333,0.801081374999999,,,,0.2691508272325373,0.1658237775444627,0.16475958037087937,0.9946607259119807,0.27389645628077397,0.11890632219403849,0.1658237775444627,0.998,9.80886409189215,10
DBSCAN,"eps=4.596320,min_samples=20",6000,1,0.06916666666666667,0.13862858399999922,,,,0.03996916554129661,0.027025655151435124,0.026326907517037142,0.934349378811122,0.24905233701592844,0.01428805424374042,0.027025655151435124,0.998,4.596319913558238,20
DBSCAN,"eps=5.071345,min_samples=20",6000,1,0.0475,0.27987858299999857,,,,0.05419788717167251,0.0339856117709932,0.033149777984686865,0.9544398881806272,0.24206114170704549,0.0182757737930352,0.03398561177099319,0.998,5.071345084683765,20
DBSCAN,"eps=6.100841,min_samples=20",6000,1,0.024666666666666667,0.3927689160000014,,,,0.10654791392209528,0.06895611065196829,0.0679373291360324,0.976521915853311,0.3109373556987341,0.03877791536852512,0.06895611065196829,0.998,6.1008407664480835,20
DBSCAN,"eps=7.294060,min_samples=20",6000,1,0.015833333333333335,0.6049466250000002,,,,0.1627631040273282,0.108031660562795,0.10695416825611222,0.9852169457874814,0.3585793506299812,0.06359580203129492,0.10803166056279499,0.998,7.294060274616925,20
DBSCAN,"eps=10.949539,min_samples=20",6000,1,0.0045,0.8068976250000013,,,,0.2531073187099184,0.14946899599906116,0.1484006874636397,0.9951609750695609,0.2239547480360844,0.11216403715305463,0.14946899599906116,0.998,10.949538873279252,20
DBSCAN,"eps=4.771827,min_samples=30",6000,1,0.063,0.20386874999999804,,,,0.044450525572069716,0.0300401365036582,0.029307918783323134,0.9401009103224143,0.25982631050056026,0.015941623389546484,0.030040136503658204,0.998,4.771826855914882,30
DBSCAN,"eps=5.245489,min_samples=30",6000,1,0.0435,0.2446845830000015,,,,0.05957150658271009,0.03749214010466856,0.03662703667231158,0.9582660933358081,0.25121636037119766,0.020257726195254788,0.03749214010466856,0.998,5.245488714179675,30
DBSCAN,"eps=6.343075,min_samples=30",6000,1,0.023666666666666666,0.4350110839999992,,,,0.11096992162498133,0.07197938462943554,0.07095248005830687,0.9775020940496709,0.3153440343966619,0.04062630523884447,0.07197938462943554,0.998,6.34307524140621,30
DBSCAN,"eps=7.563001,min_samples=30",6000,1,0.015833333333333335,0.6078489579999982,,,,0.1627631040273282,0.108031660562795,0.10695416825611222,0.9852169457874814,0.3585793506299812,0.06359580203129492,0.10803166056279499,0.998,7.563001487881926,30
DBSCAN,"eps=11.405267,min_samples=30",6000,1,0.004166666666666667,0.6451932910000018,,,,0.26707723272233874,0.15942990119068362,0.15838381649080618,0.995494131663156,0.22886521757972556,0.12231945595022067,0.15942990119068365,0.998,11.405266629864261,30
