em_iteration,lower_bound
1,-26.65331580800309
2,-21.0183716074314
3,-16.332943568113823
4,-14.068778243826886
5,-12.287312843781159
6,-11.41080608902941
7,-10.33926898513753
8,-8.542980552837854
9,-5.80238625035128
10,-3.833806770709302
11,-3.2386871715600165
12,-2.4269981397883913
13,-0.11266198961101297
14,1.4737769730924632
15,2.4957790707669325
16,3.110409294464595
17,4.993002769263431
18,6.5166785309905535
19,6.556663646326919
20,6.640774444359886
21,6.799179235618835
22,6.962980200947944
23,7.002333797116889
24,7.058630858383049
25,7.098918837809142
26,7.139666244547901
27,7.198334717920344
28,7.322898915859951
29,7.3262945137307955
30,7.328814907291286
