algorithm,parameters,n_records,n_clusters,noise_fraction,runtime_seconds,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,ami,fowlkes_mallows,homogeneity,completeness,v_measure,purity,k,covariance_type,bic,aic,lower_bound,converged,iterations
GMM,"k=2,covariance=spherical",6000,2,0.0,0.043081042000000735,0.44137144940334294,5.105948267535597,107.52365106122205,0.04148746799906301,0.025794832151229852,0.025043877929662978,0.9421329692574933,0.21702620591418437,0.013712310150865551,0.025794832151229852,0.998,2,spherical,444396.2003655515,444000.9289954071,-36.99037265244493,True,7
GMM,"k=3,covariance=spherical",6000,3,0.0,0.07386258400000045,0.03161182679203301,5.403127127125835,115.28527944231433,0.004865343249041459,0.009619691172386131,0.009217165547110913,0.6870996434958154,0.2764908993446829,0.004894999166992949,0.009619691172386133,0.998,3,spherical,434193.34338390804,433597.08657131734,-36.118442760432785,True,9
GMM,"k=4,covariance=spherical",6000,4,0.0,0.17626070899999746,0.02663219171236003,4.942723586372482,128.99807835559207,0.0035694055481588433,0.00813154263099523,0.0076398492268177605,0.6305497174993203,0.2984936681868485,0.004121915779271529,0.00813154263099523,0.998,4,spherical,429871.0156400933,429073.7733850563,-35.736857698817694,True,12
GMM,"k=5,covariance=spherical",6000,5,0.0,0.19209158299999984,0.04749653351279956,4.647531417778475,159.6205384685541,0.002894776505408835,0.0070233818331879565,0.006450123940317018,0.5927525752093474,0.3030027697007737,0.003552867345433701,0.0070233818331879565,0.998,5,spherical,424498.1585621955,423499.93086471217,-35.267550328500306,True,30
GMM,"k=6,covariance=spherical",6000,6,0.0,0.2048308330000026,0.010651183015963864,5.2647955807094835,140.0334939463446,0.0025489918335274897,0.007737022498345723,0.00713940917481869,0.5310510194466024,0.3942076134303383,0.003906850680711624,0.007737022498345723,0.998,6,spherical,421133.32908136415,419934.1159414345,-34.965273259382414,True,21
GMM,"k=7,covariance=spherical",6000,7,0.0,0.17291308300000097,-0.014738355859862506,4.866534542671341,135.34231407636815,0.0015206463257288686,0.005186554670126544,0.004556648549160826,0.4746483561080317,0.3013864995403384,0.0026157848313408567,0.005186554670126544,0.998,7,spherical,417392.15446165716,415991.9558792812,-34.63161100754859,True,12
GMM,"k=8,covariance=spherical",6000,8,0.0,0.21232858300000146,-0.002956672650515439,4.6607598635845395,144.60306217527167,0.0012989453213889629,0.005089189141305435,0.004407559299084346,0.43954756139938894,0.32320960344001415,0.002564786862764119,0.005089189141305435,0.998,8,spherical,413944.85185537586,412343.6678305536,-34.323033700440575,True,39
GMM,"k=2,covariance=diag",6000,2,0.0,0.06609816599999974,0.32620591049629644,5.982775580590359,100.24420778891901,0.02358458813270965,0.01817110251647888,0.017658039840767126,0.8921089670386795,0.23572847811401082,0.009449768411676692,0.01817110251647888,0.998,2,diag,419820.84554647625,419063.8003799285,-34.903328411760434,True,9
GMM,"k=3,covariance=diag",6000,3,0.0,0.19018716599999763,0.04892191482334443,6.044471419675058,104.03606712566844,0.004527045021130267,0.007662254875553235,0.007253174878686822,0.6779988750132661,0.23150581399378553,0.0038955945845925814,0.007662254875553235,0.998,3,diag,407270.6702093849,406131.75270218914,-33.816301242899385,True,22
GMM,"k=4,covariance=diag",6000,4,0.0,0.08998800000000173,0.028133512804647792,5.307150231815655,119.49869749067317,0.0035360823318770444,0.006662030344406996,0.006154773245915571,0.633119145893162,0.2494372858904771,0.00337610001317511,0.006662030344406995,0.998,4,diag,402202.01050510874,400681.22065726505,-33.352527994216494,True,15
GMM,"k=5,covariance=diag",6000,5,0.0,0.3091872080000009,0.02007140401244358,4.658773925213092,145.42329713907387,0.002299853705170833,0.005362625515166609,0.004794861844812711,0.5725795991263802,0.24161269449950087,0.002711402727563659,0.005362625515166608,0.998,5,diag,397560.9039243849,395658.24173589324,-32.92446519611931,True,25
GMM,"k=6,covariance=diag",6000,6,0.0,0.20235387500000002,0.020846501360152862,5.053041432862622,133.21566518143896,0.002244068314310608,0.007035172552575555,0.006438793817426477,0.5223709827810263,0.363097979217928,0.0035519969767987374,0.007035172552575555,0.998,6,diag,393125.70560642815,390841.17107728845,-32.51358221964846,True,21
GMM,"k=7,covariance=diag",6000,7,0.0,0.2768978329999996,-0.015434771417699165,4.889128371272534,123.66259388371917,0.001297597319678512,0.004626429961506417,0.003998258228165254,0.46380527237773206,0.2728920928286856,0.002332990964709311,0.004626429961506417,0.998,7,diag,392469.62147701473,389803.21460722707,-32.417737611497564,True,18
GMM,"k=8,covariance=diag",6000,8,0.0,0.3004387090000016,-0.006658274503527905,4.658803723254545,134.5559201381892,0.00127737770183466,0.005743101487680944,0.005064909641302798,0.4271183282355989,0.3716646585482375,0.0028939096315201847,0.005743101487680943,0.998,8,diag,385951.91316440597,382903.63395397033,-31.833368726307064,True,44
GMM,"k=2,covariance=tied",6000,2,0.0,0.07344595800000064,0.18070992280633338,2.221314555862618,284.36391756604394,0.0036781537324972738,0.0005055702711922035,-0.00014596885764251615,0.9201063227034393,0.005222331554330212,0.00026564351730624117,0.0005055702711922035,0.998,2,tied,473887.1684197623,470785.293091341,-39.15494109094508,True,2
GMM,"k=3,covariance=tied",6000,3,0.0,0.20303258300000238,0.0454586666308158,4.1081158476147825,201.9853967661192,-0.000777536420394796,0.0013447532557290497,0.0009751574930636828,0.6281294594600764,0.04673912426475235,0.0006821904383219503,0.0013447532557290497,0.998,3,tied,463407.51924886415,460111.3579927447,-38.26133290614973,True,3
GMM,"k=4,covariance=tied",6000,4,0.0,0.7087974999999993,0.06713191482597083,3.297551535209223,241.04064731555707,-0.00025407649824786245,0.000618546153916617,0.00014406287183118036,0.5903836280908548,0.02563807594211413,0.0003130494037211829,0.000618546153916617,0.998,4,tied,458856.4186099562,455365.9714261387,-37.861034526394285,True,4
GMM,"k=5,covariance=tied",6000,5,0.0,0.8666654999999963,0.08976226368710727,2.672262854038427,198.83319141318916,0.0027502610806720337,0.004343692001140143,0.003654233806274858,0.6959887946625706,0.15920347421961328,0.002201883994213063,0.004343692001140143,0.998,5,tied,453904.7712998037,450220.0381882881,-37.42751092758737,True,18
GMM,"k=6,covariance=tied",6000,6,0.0,0.7891142920000007,0.06919187046135204,2.499436800787494,252.46290965816866,0.0006656039822932232,0.006837407486253047,0.006304975856526299,0.5860554155703942,0.293603983666924,0.0034589798566714157,0.006837407486253047,0.9985,6,tied,440667.8597172878,436788.8406780741,-36.30326870748977,True,4
GMM,"k=7,covariance=tied",6000,7,0.0,0.36039683399999944,0.07301310779253514,2.4070088964296383,246.9110106562097,0.00041004484758649,0.006199559808528315,0.005592635759940795,0.554243324128827,0.29926759591691326,0.003132223116981334,0.006199559808528315,0.9985,7,tied,436935.4850182697,432862.1800513579,-35.97059698161429,True,6
GMM,"k=8,covariance=tied",6000,8,0.0,0.40515145800000596,0.061946895671136926,2.6513972830598913,209.24338210710974,0.0008133524328915061,0.005567003984885613,0.00494226928214219,0.4402908053716366,0.34107017793712496,0.0028064052987001303,0.005567003984885613,0.9985,8,tied,440045.32986138033,435777.73896677047,-36.20949311099233,True,10
GMM,"k=2,covariance=full",6000,2,0.0,0.2926764580000025,0.1322423060471661,6.0430998375598115,130.23029036102795,0.004376744185376479,0.005214595474263272,0.0049338877795808015,0.7569563615479622,0.11424949028807312,0.0026681887079619505,0.005214595474263271,0.998,2,full,277759.96247578366,271938.084159589,-22.517134214262377,True,27
GMM,"k=3,covariance=full",6000,3,0.0,0.8412410410000035,-0.0005270739308161068,5.8282791628555985,121.58621311968577,0.002919704208961424,0.005841267573926936,0.005479885271552293,0.6282611560618382,0.20590861486420134,0.0029626564804859324,0.005841267573926936,0.998,3,full,56470.69501699859,47734.527785332495,-3.76107731894044,True,28
GMM,"k=4,covariance=full",6000,4,0.0,0.9821388749999969,0.01773483236150089,4.990747079733479,145.6634357315195,1.1434013034651582e-05,0.0015569186453285493,0.0011231563534678782,0.5447463893143366,0.06988157426254818,0.0007872288103721747,0.0015569186453285493,0.998,4,full,25726.94590126399,14076.489754126467,-0.8833122075658129,True,26
GMM,"k=5,covariance=full",6000,5,0.0,0.9824644580000026,0.03359005277949047,4.592478789439105,171.03600989152184,0.000899614452562339,0.003210920776281953,0.0026882645783814657,0.5174119385480165,0.16121187454999505,0.0016216095076574137,0.0032109207762819527,0.998,5,full,-30490.840396258776,-45055.58545886773,4.1164513367900035,True,36
GMM,"k=6,covariance=full",6000,6,0.0,1.0005014999999986,0.03766573628123327,4.226036706983501,152.22588511307822,0.0022328517505561664,0.00625032655026983,0.005691871974126827,0.5465879511018044,0.30119128972156417,0.00315792998235083,0.006250326550269831,0.998,6,full,-38215.38538754688,-55694.41936562726,5.075832206968699,True,31
GMM,"k=7,covariance=full",6000,7,0.0,1.0059130409999995,0.03257795103015415,4.173295317557278,140.94600265389786,0.001452390162272196,0.006056525074784105,0.005423543156799738,0.4494731156848152,0.36852250026917244,0.0030533528754840633,0.006056525074784105,0.998,7,full,-46328.97973749602,-66722.30263104785,6.067449981785525,True,32
GMM,"k=8,covariance=full",6000,8,0.0,1.162049666999998,0.03617527465352979,4.147336611969541,134.7119948854929,0.0014262658432302767,0.0051390207385563534,0.004422492960956298,0.45917962802513707,0.3193680304024034,0.002590351323766025,0.005139020738556354,0.998,8,full,-57689.97935307604,-80997.5911620993,7.32941331024352,True,31
