linkage,k,cophenetic_correlation,runtime_seconds,silhouette,davies_bouldin,calinski_harabasz
single,2,0.9449035054336186,0.0223707089999996,0.8881794513916383,0.07745143913623849,135.47521856287983
single,3,0.9449035054336186,0.0223707089999996,0.8583336924646291,0.09109803909942392,114.30378991918008
single,4,0.9449035054336186,0.0223707089999996,0.8265643236270275,0.10382855359734135,98.15796880411669
single,5,0.9449035054336186,0.0223707089999996,0.6642169314863022,0.15494821762877298,77.86600493499226
single,6,0.9449035054336186,0.0223707089999996,0.6660545141817992,0.2035165478642852,75.28336880926648
single,7,0.9449035054336186,0.0223707089999996,0.6280456996507109,0.2124895003449481,65.13787240934882
single,8,0.9449035054336186,0.0223707089999996,0.6269547598935696,0.21591418206613275,58.38471906815825
complete,2,0.7787168434641623,0.03470766600000097,0.8881794513916383,0.07745143913623849,135.47521856287983
complete,3,0.7787168434641623,0.03470766600000097,0.8583336924646291,0.09109803909942392,114.30378991918008
complete,4,0.7787168434641623,0.03470766600000097,0.8265643236270275,0.10382855359734135,98.15796880411669
complete,5,0.7787168434641623,0.03470766600000097,0.42821840362199315,1.1533402877894843,81.39673311538228
complete,6,0.7787168434641623,0.03470766600000097,0.43049337567413987,1.0442925605298474,78.25923446813057
complete,7,0.7787168434641623,0.03470766600000097,0.4056942976743472,0.9437877469174473,68.80356490624851
complete,8,0.7787168434641623,0.03470766600000097,0.4047523896846864,0.9998586350598679,64.00018703256
average,2,0.9538541303163562,0.035492249999999004,0.8881794513916383,0.07745143913623849,135.47521856287983
average,3,0.9538541303163562,0.035492249999999004,0.8583336924646291,0.09109803909942392,114.30378991918008
average,4,0.9538541303163562,0.035492249999999004,0.8265643236270275,0.10382855359734135,98.15796880411669
average,5,0.9538541303163562,0.035492249999999004,0.7289064949420274,0.3583069651943607,91.17484358714908
average,6,0.9538541303163562,0.035492249999999004,0.7105638740459395,0.34831464924168204,77.89302855783085
average,7,0.9538541303163562,0.035492249999999004,0.665985391295878,0.20334024897917763,66.90295829884593
average,8,0.9538541303163562,0.035492249999999004,0.6283274223709627,0.2111045984371427,59.44654417540201
ward,2,0.2742562733510501,0.036014250000000914,0.8881794513916383,0.07745143913623849,135.47521856287983
ward,3,0.2742562733510501,0.036014250000000914,0.8441296437487851,0.699442075203085,117.28481354987639
ward,4,0.2742562733510501,0.036014250000000914,0.10817097155938729,1.3278061696454062,108.65309954561802
ward,5,0.2742562733510501,0.036014250000000914,0.10865799446556722,1.5050785267468492,101.40779349626747
ward,6,0.2742562733510501,0.036014250000000914,0.07787300195558051,2.484205682354497,95.96548550425094
ward,7,0.2742562733510501,0.036014250000000914,0.07956584751660138,2.226999549661439,92.37825550647706
ward,8,0.2742562733510501,0.036014250000000914,0.07973384111752542,1.7881516335280723,90.37973934740982
