iteration_budget,actual_iterations,inertia
1,1,171679.12235314082
2,2,170888.28675315256
3,3,169849.20931901893
4,4,169314.754602023
5,5,168894.30570273852
6,6,168348.79177974703
7,7,167666.84064420676
8,8,167071.92936383229
9,9,166779.20848845673
10,10,166769.4432808559
11,11,166769.4432808559
12,11,166769.4432808559
13,11,166769.4432808559
14,11,166769.4432808559
15,11,166769.4432808559
16,11,166769.4432808559
17,11,166769.4432808559
18,11,166769.4432808559
19,11,166769.4432808559
20,11,166769.4432808559
30,11,166769.4432808559
50,11,166769.4432808559
100,11,166769.4432808559
