algorithm,cluster,cluster_size,silhouette_mean,silhouette_median,silhouette_minimum,silhouette_maximum,negative_fraction,boundary_fraction,overall_mean_silhouette,noise_fraction
KMeans,0,5508,0.17398773177798554,0.17617271690846104,0.0033045549441846054,0.27953936957131015,0.0,0.06608569353667393,0.17303269062403356,0.0
KMeans,1,492,0.16234088843710748,0.17071618221654478,0.0027794288310582335,0.23459839822270742,0.0,0.07723577235772358,0.17303269062403356,0.0
Hierarchical,0,5999,0.8884282696220089,0.8950232479702649,0.19593329956532368,0.9146677895105515,0.0,0.0,0.8882801982437386,0.0
Hierarchical,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.8882801982437386,0.0
GMM,0,193,-0.2893871545778017,-0.2971906876489873,-0.5455706726211484,0.010413132682234217,0.9896373056994818,0.09326424870466321,0.033748560532131405,0.0
GMM,1,537,-0.19665566762430642,-0.21110303910777115,-0.36172397686601987,0.03406200411852174,0.9795158286778398,0.1452513966480447,0.033748560532131405,0.0
GMM,2,280,-0.20658202560484148,-0.2129567170420441,-0.3786277802216604,0.010263666666096327,0.9821428571428571,0.08928571428571429,0.033748560532131405,0.0
GMM,3,406,0.17286910555980375,0.1757300760391474,0.06405034296186546,0.25719381020743537,0.0,0.029556650246305417,0.033748560532131405,0.0
GMM,4,1793,0.10793204274233795,0.1101589156524268,0.013286400245755977,0.16966385431931372,0.0,0.36586726157278304,0.033748560532131405,0.0
GMM,5,1821,0.019816775407442287,0.019939505566147684,-0.04694056208972685,0.08154572659658073,0.1630971993410214,1.0,0.033748560532131405,0.0
GMM,6,571,0.08930208264801416,0.08879674173432786,0.026931951410718094,0.14177550562977875,0.0,0.6970227670753065,0.033748560532131405,0.0
GMM,7,399,0.17795814036754778,0.19113085894938084,0.020082886065374277,0.2681002923690713,0.0,0.08521303258145363,0.033748560532131405,0.0
